nome;valence;acousticness;danceability;energy;instrumentalness;liveness;speechiness;uri;image;url;album
Bombonzinho - Ao Vivo;0.722;0.305;0.651;0.947;0.0;0.92;0.0539;spotify:track:4o6v3Oooyt7HF20idztRD4;https://i.scdn.co/image/ab67616d0000b273bfd0c5fc77ce47d1623fcfd7;https://open.spotify.com/track/4o6v3Oooyt7HF20idztRD4;Bombonzinho (Ao Vivo)
Eu Gosto Assim - Ao Vivo;0.61;0.149;0.636;0.909;0.0;0.719;0.0439;spotify:track:4ASA1PZyWGbuc4d9N8OAcF;https://i.scdn.co/image/ab67616d0000b27319bb2fb697a42c1084d71f6c;https://open.spotify.com/track/4ASA1PZyWGbuc4d9N8OAcF;Eu Gosto Assim (Ao Vivo)
Pactos - Ao Vivo;0.473;0.582;0.565;0.889;0.0;0.427;0.0498;spotify:track:2M4kQD87lKnAS9vFlb4Bez;https://i.scdn.co/image/ab67616d0000b273e78d00b0c0b97b75afbbcfb3;https://open.spotify.com/track/2M4kQD87lKnAS9vFlb4Bez;Pactos (Ao Vivo)
Felina;0.533;0.385;0.585;0.662;0.0;0.0966;0.351;spotify:track:2orGm2E68ODFYOURjaES62;https://i.scdn.co/image/ab67616d0000b2737697065931a5f8d8f51d7341;https://open.spotify.com/track/2orGm2E68ODFYOURjaES62;Felina
Evoque Prata;0.52;0.306;0.872;0.519;0.0;0.276;0.244;spotify:track:1597vvneWf0zoQrg2D8yH6;https://i.scdn.co/image/ab67616d0000b273c86728d0dcba2a6c18d1fad5;https://open.spotify.com/track/1597vvneWf0zoQrg2D8yH6;Evoque Prata
Assunto Delicado - Ao Vivo;0.608;0.401;0.569;0.941;0.0;0.891;0.312;spotify:track:3yHXEidSu4gYVRqKoI653O;https://i.scdn.co/image/ab67616d0000b273f68e7629f2d12c7d2380b074;https://open.spotify.com/track/3yHXEidSu4gYVRqKoI653O;Assunto Delicado (Ao Vivo)
Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo;0.698;0.59;0.714;0.748;0.0;0.626;0.0679;spotify:track:1ELsaYdj2NlxLvkx9g24xZ;https://i.scdn.co/image/ab67616d0000b273c79430864dea2b5cb45391ec;https://open.spotify.com/track/1ELsaYdj2NlxLvkx9g24xZ;Haja Colírio (feat. Hugo & Guilherme) [Ao Vivo]
Ex dos Meus Sonhos - Ao Vivo;0.607;0.554;0.75;0.748;0.0;0.921;0.0331;spotify:track:7LUZT12r4xmwR1Kh8TJgjv;https://i.scdn.co/image/ab67616d0000b2735f36e4a82acdd35a83d139b8;https://open.spotify.com/track/7LUZT12r4xmwR1Kh8TJgjv;Buteco Goiânia (Ao Vivo)
Comunicação Falhou - Ao Vivo;0.793;0.416;0.612;0.882;0.0;0.676;0.0501;spotify:track:7bhvRvE56NHBvedx0EeALS;https://i.scdn.co/image/ab67616d0000b27373a5dbacdd8de421f5d7215e;https://open.spotify.com/track/7bhvRvE56NHBvedx0EeALS;Ao Vivo em Fortaleza
Beijo de Glicose - Ao Vivo;0.59;0.409;0.556;0.87;0.0;0.896;0.101;spotify:track:6gyhp7IcNhTYzwlk8utsgP;https://i.scdn.co/image/ab67616d0000b273e50e065b4ed5e3517d3490fc;https://open.spotify.com/track/6gyhp7IcNhTYzwlk8utsgP;Beijo de Glicose (Ao Vivo)
Casei Com a Putaria;0.617;0.117;0.585;0.6;0.0;0.0504;0.436;spotify:track:1OZ4uv7OAP24Ix6j3vojLt;https://i.scdn.co/image/ab67616d0000b273cce7f7253bac8299a8def0c4;https://open.spotify.com/track/1OZ4uv7OAP24Ix6j3vojLt;Casei Com a Putaria
Sereia;0.505;0.276;0.651;0.661;0.0;0.105;0.147;spotify:track:77UrDaIQq6JZIJWeLgJaRf;https://i.scdn.co/image/ab67616d0000b27350dd8571c2fd2af11e35d8fe;https://open.spotify.com/track/77UrDaIQq6JZIJWeLgJaRf;Sereia
Poesia Acústica 13;0.5;0.469;0.572;0.579;0.0;0.136;0.128;spotify:track:7qoIhutxU269Zqo9PG5IOj;https://i.scdn.co/image/ab67616d0000b2735ea348b873b9a15925e04f3e;https://open.spotify.com/track/7qoIhutxU269Zqo9PG5IOj;Poesia Acústica 13
5 Regras - Ao Vivo;0.605;0.78;0.761;0.574;0.0;0.459;0.0675;spotify:track:3gCWngngUs1uojw33vrE8K;https://i.scdn.co/image/ab67616d0000b2739bf31b633eefc16c1b893366;https://open.spotify.com/track/3gCWngngUs1uojw33vrE8K;É Simples Assim (Ao Vivo)
